Run	Number_of_input_reads	Uniquely_mapped_reads_number_Genome	Uniquely_mapped_reads_number_Virus	Library.Name	Age	Tissue	study	BioProject	SRA_Study	Study_Nickname	Age_True	cohort					
SRR12061219	19523597	17175540	7	P36	6	PVC	Kron 2020	PRJNA639857	SRP268155 	Kron_PVC	5.8	77					
SRR12061220	15212858	13172100	2	P35	6	PVC	Kron 2020	PRJNA639857	SRP268155 	Kron_PVC	5.8	77					
SRR12061242	12877714	11115303	2393	P18	6	PVC	Kron 2020	PRJNA639857	SRP268155 	Kron_PVC	5.8	77					
SRR25071708	37628383	30245677	698	10B27A	10	ABD	Kron 2023	PRJNA984706	SRP446535	Schmale_PolyA_ABD	10.1	27					
SRR25071765	30212574	24482123	528	11B27A	10	ABD	Kron 2023	PRJNA984706	SRP446535	Schmale_PolyA_ABD	10.1	27					
SRR25071764	35940669	29125021	4	12B27A	10	ABD	Kron 2023	PRJNA984706	SRP446535	Schmale_PolyA_ABD	10.1	27					
SRR25071763	22615964	14075812	11	13B27A	10	ABD	Kron 2023	PRJNA984706	SRP446535	Schmale_PolyA_ABD	10.1	27					
SRR25071762	24783527	19155510	2387	14B27A	10	ABD	Kron 2023	PRJNA984706	SRP446535	Schmale_PolyA_ABD	10.1	27					
SRR25071761	24694349	17784288	1107	16B27A	10	ABD	Kron 2023	PRJNA984706	SRP446535	Schmale_PolyA_ABD	10.1	27					
SRR25071760	32071288	25229992	346618	17B27A	10	ABD	Kron 2023	PRJNA984706	SRP446535	Schmale_PolyA_ABD	10.6	27					
SRR25071759	28041772	23277863	336	18B27A	10	ABD	Kron 2023	PRJNA984706	SRP446535	Schmale_PolyA_ABD	10.6	27					
SRR25071758	33164624	27301888	291309	19B27A	10	ABD	Kron 2023	PRJNA984706	SRP446535	Schmale_PolyA_ABD	10.6	27					
SRR25071767	30397486	24580250	11	1B27A	9	ABD	Kron 2023	PRJNA984706	SRP446535	Schmale_PolyA_ABD	9.2	27					
SRR25071757	42226273	30073246	1673	20B27A	9	ABD	Kron 2023	PRJNA984706	SRP446535	Schmale_PolyA_ABD	9.2	27					
SRR25071756	33880774	27004905	837	21B27A	10	ABD	Kron 2023	PRJNA984706	SRP446535	Schmale_PolyA_ABD	10.6	27					
SRR25071754	35334591	28112495	34952	23B27A	10	ABD	Kron 2023	PRJNA984706	SRP446535	Schmale_PolyA_ABD	10.7	27					
SRR25071753	34516365	28265307	66133	24B27A	10	ABD	Kron 2023	PRJNA984706	SRP446535	Schmale_PolyA_ABD	10.7	27					
SRR25071752	35645127	29058306	114707	25B27A	10	ABD	Kron 2023	PRJNA984706	SRP446535	Schmale_PolyA_ABD	10.7	27					
SRR25071751	48581517	39814586	117599	26B27A	10	ABD	Kron 2023	PRJNA984706	SRP446535	Schmale_PolyA_ABD	10.8	27					
SRR25071766	27581813	22206998	330429	2B27A	10	ABD	Kron 2023	PRJNA984706	SRP446535	Schmale_PolyA_ABD	10.8	27					
SRR25071755	28844923	23644819	556	3B27A	9	ABD	Kron 2023	PRJNA984706	SRP446535	Schmale_PolyA_ABD	9.2	27					
SRR25071744	26839020	22428031	619	4B27A	9	ABD	Kron 2023	PRJNA984706	SRP446535	Schmale_PolyA_ABD	9.2	27					
SRR25071733	25474102	20578069	399	5B27A	9	ABD	Kron 2023	PRJNA984706	SRP446535	Schmale_PolyA_ABD	9.2	27					
SRR25071722	34319331	27936551	6	6B27A	9	ABD	Kron 2023	PRJNA984706	SRP446535	Schmale_PolyA_ABD	9.2	27					
